Dataset,CC,PBT,WABT
Corel5k,0.176,0.017,0.104
Corel16k,0.001,0.014,0.034
Reuters,0.001,0.018,0.041
Stackex-chemistry,0.011,0.018,0.061
Stackex_philosophy,0.025,0.010,0.061
Stackex_cooking,0.042,0.008,0.025
Stackex_cs,0.042,0.015,0.046
Yelp,0.449,0.699,0.680
Slashdot,0.104,0.074,0.109
langlog,0.001,0.021,0.055
