Dataset,BT,PBT,WABT,CC,LP
Corel5k,0.960,0.796,0.916,0.990,0.019
Corel16k,0.879,0.577,0.960,0.982,0.017
Reuters,0.872,0.664,0.956,0.986,0.051
Stackex-chemistry,0.802,0.754,0.967,0.988,0.016
Stackex-philosophy,0.296,0.381,0.972,0.990,0.013
Stackex-cooking,0.197,0.673,0.986,0.994,0.006
Stackex-cs,0.253,0.885,0.977,0.991,0.012
Yelp,0.755,0.851,0.843,0.760,0.572
Slashdot,0.637,0.701,0.828,0.947,0.117
langlog,0.847,0.816,0.950,0.984,0.252
